cert,asset_16
5557,85249
5558,197154
5559,57272
5564,118532
5567,356687
5568,419146
5569,272102
5574,835347
5575,222529
5580,70869
5589,92490
5590,136908
5593,60179
5595,219694
5598,874684
5600,188992
5602,228814
5605,53077
5608,132358
5615,714212
5619,15342
5623,185260
5624,76853
5628,80914
5629,74822
5632,82504
5633,5224675
5634,91436
5635,215446
5636,115695
5649,91146995
5673,533143
5676,477110
5677,201768
5685,413936
5686,42759
5694,370568
5699,50989
5704,109984
5709,106102
5716,546069
5722,89207
5730,58661
5740,156959
5744,1018989
5749,230467
5753,98734
5754,213339
5766,4080967
5768,291922
5775,243496
5779,197492
5786,108123
5791,101976
5792,55550
5796,280447
5797,186830
5800,293784
5814,110981
5817,196830
5818,67137
5819,147672
5820,39920
5821,175857
5826,909392
5830,88587
5835,432999
5838,49009
5840,573601
5847,84616
5854,968843
5866,309183
5867,300834
5873,229370
5874,486158
5885,336000
5892,95935
5893,65074
5902,171846
5903,2679507
5907,456361
5956,1086348
5962,464691
5969,1035722
5981,407238
5994,137181
5995,47249
5999,26930
6007,11037
6051,162018
6058,438010
6063,761459
6064,34065
6074,66310
6078,88306
6080,112750
6084,29793
6085,1509567
6088,210552
6091,381069
6100,25381
6101,88528
6103,212823
6104,886905
6110,77475
6123,692944
6128,206307
6137,347191
6139,222818
6149,10194
6156,32497
6158,1576742
6161,1130534
6173,127833
6176,276349
6180,131929
6183,149305
6186,204379
6194,164608
6195,224301
6198,33917
6212,261613
6268,2071751
6271,636997
6275,346316
6280,64411
6354,488512
6384,355999734
6423,2432056
6442,155544
6464,245807
6516,280200
6528,201318
6530,58595
6531,785587
6540,1948257
6544,3420466
6548,441010095
6560,99561863
6574,222521
6584,53118
6592,55278
6600,8422140
6605,668499
6616,293457
6623,1305671
6636,880534
6637,136242
6638,86722
6646,158426
6649,59860
6653,7393408
6659,121609
6662,140825
6671,155292
6672,139776168
6680,58527
6700,164198
6706,136853
6725,160868
6728,84674
6732,107753
6750,404000
6760,241207
6762,92505
6784,5969150
6786,147222
6787,60550
6794,178140
6800,147910
6803,293649
6805,85769
6811,439067
6813,233642
6821,1230498
6837,1669629
6861,558455
6862,716509
6863,273898
6881,1266881
6892,897837
6913,189687
6917,715738
6923,623490
6947,1091291
6954,154783
6959,442206
6976,4054002
6985,2451408
6989,8604114
6990,162034
7018,293674
7025,308430
7031,141412
7072,3510086
7074,2158385
7085,171299
7123,477003
7128,460488
7151,955903
7153,1257761
7213,1349581000
7230,8792872
7274,113352
7278,2091105
7356,306056
7391,372745
7404,982948
7459,349081
7461,480961
7464,1080538
7468,6642231
7472,1194960
7493,983934
7506,1194547
7514,1995179
7526,621531
7542,1134827
7551,10741577
7577,20896
7582,47261
7586,387695
7590,155498
7593,1220069
7598,542947
7599,197948
7609,177005
7613,476712
7614,574019
7631,132833
7646,338814
7658,906124
7659,410758
7666,491927
7675,685487
7714,1054636
7748,1585661
7759,4197406
7774,317970
7789,133464
7799,1228026
7848,844884
7875,690155
7886,259729
7888,21652010
7900,1143568
7907,32211
7909,272999
7910,371669
7946,24452112
7953,121790
8011,1069710
8018,656566
8021,638500
8028,139761
8033,394849
8035,154083
8056,2717742
8058,77268
8063,280130
8067,58789
8074,227061
8083,141020
8094,204741
8097,39001
8101,394665
8108,42553
8110,39207
8117,259228
8118,181113
8120,195406
8121,53146
8122,201094
8126,147306
8128,279449
8129,55438
8136,2002516
8140,103595
8141,859634
8143,85515
8144,80170
8149,892604
8152,1848999
8162,118262
8165,206932
8172,235532
8183,52842
8188,174595
8190,56463
8191,79459
8193,119532
8196,34304
8197,12298
8199,24427
8200,369485
8202,87329
8205,126081
8207,32478
8210,110543
8212,161559
8214,117831
8218,24393
8231,213272
8232,210812
8234,318018
8235,1033732
8243,138327
8250,181986
8251,139527
8252,342402
8254,105712
8255,926698
8259,101204
8267,113186
8268,67461
8270,189893
8273,20399583
8274,143481
8276,65367
8282,158083
8283,176172
8295,175636
8296,172774
8317,129310
8321,109716
8322,220523
8323,18163
8333,53620
8350,91072
8354,197269
8355,81244
8383,84134
8386,143095
8387,305326
8390,69372
8397,42965
8403,82674
8405,1128634
8421,391711
8426,982799
8432,742856
8439,369502
8468,2178057
8472,215433
8487,132930
8491,160657
8492,36460
8494,99371
8499,77270
8500,138739
8503,69603
8506,213454
8507,56324
8510,87250
8511,131051
8513,71173
8516,50750
8519,36534
8522,106675
8526,282890
8527,515466
8531,211403
8532,102354
8533,151296
8534,293508
8535,59654
8536,169121
8537,268406
8541,105875
8542,93497
8544,274641
8545,204313
8546,207029
8552,294377
8556,65511
8558,59038
8560,106641
8564,90088
8569,87966
8572,73418
8576,448132
8584,59468
8594,43945
8595,116083
8604,41981
8632,63893
8637,248256
8640,96568
8642,72416
8647,108643
8660,741265
8661,36023
8663,3275430
8665,86710
8668,745061
8672,42632
8675,1249631
8681,45336
8693,96541
8695,203153
8698,537230
8700,72343
8714,148892
8718,168463
8724,55558
8725,46746
8728,16678547
8730,62218
8735,127813
8738,394561
8745,500394
8751,228239
8752,153828
8756,62060
8758,47808
8760,106210
8761,274766
8762,112554
8772,302036
8774,858209
8775,131300
8785,351190
8798,330878
8799,77661
8800,273078
8807,269194
8810,512231
8811,561789
8813,366980
8816,462647
8821,146175
8822,43838
8824,149900
8827,79465
8831,93436
8833,77439
8840,57349
8842,91961
8843,262559
8845,46769
8848,60895
8850,266713
8851,43590
8853,254731
8857,23555
8858,46635
8863,85193
8864,44799
8865,49398
8866,1620732
8867,166675
8868,2023593
8870,927725
8871,48573
8878,1051928
8879,797048
8884,158215
8885,50712
8886,331632
8888,1387653
8889,546692
8892,424225
8893,29765
8896,77177
8898,289845
8903,451796
8904,843697
8908,63479
8941,544849
8942,121091
8943,107623
8946,31319
8975,81680
8980,214708
9003,36049
9005,104219
9007,76431
9023,382308
9024,128306
9030,106147
9035,67898
9036,85584
9037,329788
9042,68163
9047,379652
9057,88111
9064,284134
9068,209058
9069,192042
9070,42829
9079,218173
9080,180105
9087,5478967
9092,865783
9096,86146
9099,417132
9100,586269
9102,16858
9104,50297
9105,124888
9106,48299
9120,40539
9121,73031
9122,55703
9123,960808
9127,20445
9128,39243
9137,193848
9139,669841
9155,369709
9168,310236
9170,475676
9172,211309
9176,493938
9179,83625
9188,36871
9189,52946
9196,90078
9199,152456
9204,978515
9244,223448
9245,239176
9259,144785
9260,493573
9263,430915
9264,56785
9265,102576
9273,70759
9274,45330
9288,666222
9293,153127
9295,32731
9298,553830
9299,222663
9300,70232
9306,118828
9307,148261
9309,246801
9310,144787
9313,113200
9314,944545
9315,124197
9319,392452
9320,170833
9322,337398
9323,141063
9325,242509
9326,169645
9327,286187
9328,69217
9330,81105
9332,90656
9336,69265
9337,68656
9340,61753
9349,35909
9351,37808
9354,30612
9356,140820
9359,366916
9366,284312
9369,302465
9374,19617
9377,23245
9378,186818
9385,92742
9387,749472
9388,144030
9392,152646
9396,22827478
9406,18535
9410,461536
9417,34864
9420,149364
9422,42163
9423,1174850
9425,29594
9437,433141
9438,17958
9439,60426
9440,32535
9443,780740
9450,175176
9457,556524
9462,133614
9463,436236
9465,311929
9467,48728
9472,257217
9486,208528
9489,163813
9499,105397
9502,31273
9507,359543
9517,110107
9523,91252
9526,85414
9529,174546
9536,342935
9614,16532
9615,97871
9620,315859
9622,2823693
9631,126538
9632,360718
9647,446817
9658,56584
9659,94569
9661,63738
9665,397420
9668,84903
9669,79022
9672,66858
9678,471779
9712,7707973
9719,346751
9727,57896
9728,61435
9733,21567
9735,99776
9737,387051
9745,148969
9746,140058
9747,49779
9751,387326
9752,34936
9757,186580
9760,271931
9764,23859
9769,74238
9770,275949
9773,93122
9775,158146
9777,138300
9788,223666
9791,131370
9793,230751
9794,176758
9797,23402
9803,229081
9806,49529
9811,71721
9812,48499
9818,74892
9819,49775
9822,76586
9831,302006
9846,214433035
9860,46806
9865,45657
9871,323891
9875,45916
9879,46373
9881,82627
9882,108182
9888,640728
9889,1032014
9923,615896
9932,155117
9933,49171
9935,89504
9947,68613
9950,65629
9963,978809
9967,273293
9973,135379
9978,1519961
9986,57134
9997,288032
9998,150942
10002,334873
10004,79667
10007,260845
10011,202842
10012,171841
10015,95986
10044,1997501
10045,169368
10055,102369
10057,85637
10072,124845
10074,48717
10075,35324
