cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,nimy,roa,ntlnlsr,rbc1aaj,rbcrwaj
58095,0,0,3384952,0,Idaho First Bank,Mccall,ID,83638,12/31/2016,NM,3.93892214571764,-0.281038188130269,0.117951909056292,9.53101572579239,12.766584187581
58100,0,3811467,3400928,1,Plaza Bank,Irvine,CA,92612,12/31/2016,NM,4.8939548218155,1.06890547918034,1.81364221675443E-02,10.4446408264602,12.6324122836698
58101,0,3438145,3430297,0,Bank of Birmingham,Birmingham,MI,48009,12/31/2016,NM,3.90920658498079,0.92792009259681,0.348513205802075,8.18548778163114,10.2118894574922
58103,0,0,3390627,0,Signature Bank of Georgia,Sandy Springs,GA,30328,12/31/2016,NM,4.20354549885836,-0.735990643406025,7.42298651490783E-02,9.97641395908544,15.7006077284715
58105,0,3613531,3393806,0,Southern Community Bank,Tullahoma,TN,37388,12/31/2016,NM,3.90218905443333,0.771483215254895,0.154769124591438,9.63380424069347,12.3386095823011
58106,0,3374243,3374234,0,Riverland Bank,Jordan,MN,55352,12/31/2016,NM,4.00805278761959,0.417294138292706,5.06082869218312E-02,13.8146852152144,16.2448547937252
58107,0,3384363,3384372,0,FortuneBank,Arnold,MO,63010,12/31/2016,NM,3.54474734034215,0.509919644276474,0.189352764199704,8.51830060055186,11.8575028260719
58111,0,0,3385744,0,NobleBank & Trust,Anniston,AL,36207,12/31/2016,SM,3.74966043002435,0.799125401643757,0.113278632164477,8.90480883542301,14.0400498524445
58112,0,0,3462449,0,Louisa Community Bank,Louisa,KY,41230,12/31/2016,NM,4.30459482147157,-1.02918495669712,0.301621903234209,12.5683692663869,15.494804471105
58113,0,0,3404999,0,Flagship Community Bank,Clearwater,FL,33761,12/31/2016,NM,3.92119598416783,0.273328999468117,0.325725265969911,11.6196460870052,14.4106818938036
58114,0,4421564,3374403,0,Bank of Belleville,Belleville,IL,62220,12/31/2016,NM,3.11005895186371,0.625908983398,3.77834185750155E-02,8.16003261217715,11.8670811917074
58115,0,3376452,3374412,0,Oakstar Bank,Springfield,MO,65807,12/31/2016,SM,3.46853912427494,0.974112657578929,2.96718148913937E-03,9.85699188056156,13.5311647078483
58119,18000,0,3441677,0,E*TRADE Savings Bank,Arlington,VA,22203,12/31/2016,SA,1.98115973584248,0.734720095344322,-0.153174273737628,12.0408672373286,69.8316719925939
58121,0,3722376,3374382,0,Triad Bank,Frontenac,MO,63131,12/31/2016,NM,3.65650012476247,0.742538318078465,-2.95521248822137E-03,9.46710148229509,11.7515444095975
58127,0,3371297,3371309,0,STC Capital Bank,Saint Charles,IL,60174,12/31/2016,NM,4.14011901609853,1.07332844111449,8.78246996619029E-02,10.8894742926982,13.0352550583049
58133,0,0,3437166,0,Patriot Community Bank,Woburn,MA,1801,12/31/2016,SM,3.11079820512024,0.743229234386037,0,12.4450917564812,19.2900257481744
58138,0,0,3464368,0,"Bank of Napa, N.A.",Napa,CA,94558,12/31/2016,N,3.57783241984093,0.754108636665091,-2.30387142554348E-03,10.7622428862323,17.5071284597611
58140,18006,4267427,3447820,0,"Esquire Bank, National Association",Garden City,NY,11530,12/31/2016,N,4.20698006599418,0.818999751928806,-7.53906026804137E-03,11.6344208597632,17.2486836940485
58142,0,0,3386554,0,The Bank of River Oaks,Houston,TX,77098,12/31/2016,NM,3.79386643100812,1.01343954385681,0.22868310343979,10.6770965387846,13.9107265766153
58143,0,3353275,3353266,0,Southern Bank & Trust,Clarkesville,GA,30523,12/31/2016,NM,4.41224011867031,0.929173080275236,2.49365556478421E-02,10.1965801695071,13.6896911393278
58148,0,0,3407084,0,LCA Bank Corporation,Park City,UT,84060,12/31/2016,NM,6.40653304244256,1.77827946858585,1.1132012572626,11.9529478283849,13.1639327210764
58152,0,0,3429282,0,First Bank of the Palm Beaches,West Palm Beach,FL,33401,12/31/2016,NM,4.11783185985687,0.362798914758029,-9.44455521391918E-03,10.0118985700341,16.8860356701788
58158,0,4087894,3377235,0,"CenTrust Bank, National Association",Northbrook,IL,60062,12/31/2016,N,4.20858709425016,-0.765034432573359,0.713879177168876,9.67538362746618,13.2908078915463
58159,0,5010367,3392292,0,Community Business Bank,West Sacramento,CA,95605,12/31/2016,NM,4.20465178655792,1.12196721698949,0,9.93239677481847,13.2343479133966
58163,0,3848342,3357910,0,HomeTown Bank,Roanoke,VA,24011,12/31/2016,SM,3.67594108452154,0.615037107971273,0.18894623870005,10.6735226520198,12.5860720970254
58164,0,3825062,3410141,0,"Bank of Lexington, Inc.",Lexington,KY,40503,12/31/2016,NM,3.67489480644887,0.846909633732931,9.00424431642621E-03,10.1579367270005,16.5049822471653
58165,0,3391727,3391718,0,Belmont Bank & Trust Company,Chicago,IL,60634,12/31/2016,NM,3.9678116195923,1.43703421464271,0.121295998027449,9.73128422463795,14.1543511603572
58172,0,4999250,3335301,1,Peoples Bank and Trust Company of Clinton County,Albany,KY,42602,12/31/2016,NM,5.20613620993284,0.559637499323019,0.364923405323958,9.48099591051239,13.6115788629621
58175,0,3554250,3443345,0,Bank of New Jersey,Fort Lee,NJ,7024,12/31/2016,NM,3.09073674512218,0.490833280581944,0.199192102514682,9.29046627119988,12.2131658592633
58176,0,3367094,3367085,1,Gateway Bank of Florida,Daytona Beach,FL,32114,12/31/2016,NM,2.91707826415198,0.862115453933943,-0.770882984670609,9.67412631913878,16.588785046729
58177,0,0,3394278,0,Sallie Mae Bank,Salt Lake City,UT,84101,12/31/2016,NM,5.7892530329953,1.58441758322241,0.635423446044539,11.0823069331335,13.7555072144509
58180,0,1951350,3382547,1,Department Stores National Bank,Sioux Falls,SD,57104,12/31/2016,N,3.14757256548863,1.07103587062509,1.16231387001257,14.3877284342574,40.1527259811756
58181,0,4750086,3437456,0,Metro City Bank,Doraville,GA,30340,12/31/2016,NM,4.81861343413874,2.38839190775976,7.68129642726443E-03,10.1576712862121,14.4772950862114
58184,0,0,3487433,0,Merchants Commercial Bank,St Thomas,VI,802,12/31/2016,NM,3.44088139079441,0.478416982323232,0.128809599424354,8.45684067084643,14.6061096420255
